name,types,categories,Google_Maps_link,Google_Maps_rating,TripAdvisor_link,TripAdvisor_rating,Bookingcom_link,Bookingcom_rating,Bookingcom_price,Bookingcom_address
Peter's Fast Food,restaurants,,https://www.google.com/maps/place/Peter%27s+Fast+Food/data=!4m7!3m6!1s0x17babd035fdb5dd1:0x37708aabe98e1b36!8m2!3d6.0356081!4d37.562855!16s%2Fg%2F11trm7yz5d!19sChIJ0V3bXwO9uhcRNhuO6auKcDc?authuser=0&hl=en&rclk=1,5.0(2),,,,,,
C2 restuarant,restaurants,,https://www.google.com/maps/place/C2+restuarant/data=!4m7!3m6!1s0x17babb09c9dfb939:0x35a49700cedaa044!8m2!3d6.026231!4d37.5517647!16s%2Fg%2F11h5dm6kvv!19sChIJObnfyQm7uhcRRKDazgCXpDU?authuser=0&hl=en&rclk=1,5.0(3),,,,,,
Lenbo Food processing Association,restaurants,,https://www.google.com/maps/place/Lenbo+Food+processing+Association/data=!4m7!3m6!1s0x17babd335acda76f:0x9d557aade9da2cc2!8m2!3d6.0225393!4d37.5566122!16s%2Fg%2F11vc3v7ysc!19sChIJb6fNWjO9uhcRwiza6a16VZ0?authuser=0&hl=en&rclk=1,5.0(1),,,,,,
Arba Minch Tour And Travel,"tour agency, car rental, boat rental, helicopter ride","Tour agency · , Car rental agency · , Tour operator · ",https://www.google.com/maps/place/Arba+Minch+Tour+And+Travel/data=!4m7!3m6!1s0x17babb381a9c71e3:0xdf85df73ac26116a!8m2!3d6.0078288!4d37.5378658!16s%2Fg%2F11h0cwm1p4!19sChIJ43GcGji7uhcRahEmrHPfhd8?authuser=0&hl=en&rclk=1,4.3(16),,,,,,
Binu Ethiopia Tours,tour agency,,https://www.google.com/maps/place/Binu+Ethiopia+Tours/data=!4m7!3m6!1s0x17babb6a3af0d02f:0xa1c2ee36bc02cf2c!8m2!3d6.0079281!4d37.5369781!16s%2Fg%2F11h_wxs_00!19sChIJL9DwOmq7uhcRLM8CvDbuwqE?authuser=0&hl=en&rclk=1,5.0(41),,,,,,
ARBA Minch Tour and Travel Association,"tour agency, helicopter ride",,https://www.google.com/maps/place/ARBA+Minch+Tour+and+Travel+Association/data=!4m7!3m6!1s0x17babbbeb978e271:0xbdc71af72d35d75b!8m2!3d6.0069272!4d37.550214!16s%2Fg%2F11vzw6rq49!19sChIJceJ4ub67uhcRW9c1Lfcax70?authuser=0&hl=en&rclk=1,4.9(19),,,,,,
Antu South Route Ethio Tour,"tour agency, boat rental",Tour operator ·  · Sub-City,https://www.google.com/maps/place/Antu+South+Route+Ethio+Tour/data=!4m7!3m6!1s0x17babdf026fe071b:0x9229204478876cb!8m2!3d6.0340068!4d37.5587813!16s%2Fg%2F11vz8ry_74!19sChIJGwf-JvC9uhcRy3aIRwSSIgk?authuser=0&hl=en&rclk=1,4.8(18),,,,,,
Haile Ethiopia tours,"tour agency, helicopter ride",,https://www.google.com/maps/place/Haile+Ethiopia+tours/data=!4m7!3m6!1s0x17babbfcf5748d95:0xb1938cf66b0b7270!8m2!3d6.0223756!4d37.5529128!16s%2Fg%2F11glgph21k!19sChIJlY109fy7uhcRcHILa_aMk7E?authuser=0&hl=en&rclk=1,4.8(29),,,,,,
ARBA MINCH TARIK RIFT VALLEY TOUR,tour agency,Tour operator ·  · ARBA MINTCH SCECHA,https://www.google.com/maps/place/ARBA+MINCH+TARIK+RIFT+VALLEY+TOUR/data=!4m7!3m6!1s0x17babb457c9e6ccd:0x7ea6788f313a32bb!8m2!3d6.0081457!4d37.5387828!16s%2Fg%2F11fk81hb46!19sChIJzWyefEW7uhcRuzI6MY94pn4?authuser=0&hl=en&rclk=1,5.0(2),,,,,,
View Ethiopia Tour,tour agency,"Tour operator · next to, Ezana",https://www.google.com/maps/place/View+Ethiopia+Tour/data=!4m7!3m6!1s0x17babb580f5e2e21:0x76d52393ef4879f0!8m2!3d6.0065309!4d37.5415684!16s%2Fg%2F11gtz1fyy7!19sChIJIS5eD1i7uhcR8HlI75Mj1XY?authuser=0&hl=en&rclk=1,4.8(20),,,,,,
Driver guide Arbaminch,"tour agency, car rental","Tour operator · , Car rental agency · ",https://www.google.com/maps/place/Driver+guide+Arbaminch/data=!4m7!3m6!1s0x17babd0d43145bc9:0x1ea81a98ab4b4600!8m2!3d6.0127611!4d37.5569166!16s%2Fg%2F11v0ms5nvf!19sChIJyVsUQw29uhcRAEZLq5gaqB4?authuser=0&hl=en&rclk=1,5.0(15),,,,,,
Omo Valley Adventure Tours,tour agency,Tour agency · ,https://www.google.com/maps/place/Omo+Valley+Adventure+Tours/data=!4m7!3m6!1s0x17babb659b60e351:0x6c52d4e61fb2551d!8m2!3d6.0053603!4d37.5462576!16s%2Fg%2F11h396d_96!19sChIJUeNgm2W7uhcRHVWyH-bUUmw?authuser=0&hl=en&rclk=1,5.0(6),,,,,,
Sol Eco Arbaminch Tour,tour agency,,https://www.google.com/maps/place/Sol+Eco+Arbaminch+Tour/data=!4m7!3m6!1s0x17babdb631e9df07:0xf9a869705289c451!8m2!3d6.0349927!4d37.557322!16s%2Fg%2F11mywf60b_!19sChIJB9_pMba9uhcRUcSJUnBpqPk?authuser=0&hl=en&rclk=1,,,,,,,
Roots South Ethiopia Tours,tour agency,,https://www.google.com/maps/place/Roots+South+Ethiopia+Tours/data=!4m7!3m6!1s0xa522cf9ef6d1989b:0x1e000e349ad63c37!8m2!3d6.0332034!4d37.5577648!16s%2Fg%2F11trcz3wrv!19sChIJm5jR9p7PIqURNzzWmjQOAB4?authuser=0&hl=en&rclk=1,5.0(5),,,,,,
Enset Ethiopia Tours,tour agency,Tour agency · Arbaminch,https://www.google.com/maps/place/Enset+Ethiopia+Tours/data=!4m7!3m6!1s0x17babb90841cfdcd:0x9dd35099a87e2269!8m2!3d6.033644!4d37.5583203!16s%2Fg%2F11lmcsgr21!19sChIJzf0chJC7uhcRaSJ-qJlQ050?authuser=0&hl=en&rclk=1,5.0(1),,,,,,
Visit Arba Minch Easily (አርባምንጭን ከእኛ ጋር በቀላሉ ይጎብኙ),tour agency,Tour operator · ,https://www.google.com/maps/place/Visit+Arba+Minch+Easily+%28%E1%8A%A0%E1%88%AD%E1%89%A3%E1%88%9D%E1%8A%95%E1%8C%AD%E1%8A%95+%E1%8A%A8%E1%8A%A5%E1%8A%9B+%E1%8C%8B%E1%88%AD+%E1%89%A0%E1%89%80%E1%88%8B%E1%88%89+%E1%8B%AD%E1%8C%8E%E1%89%A5%E1%8A%99%29/data=!4m7!3m6!1s0x164b8509d9688835:0x2cfcd15c198b62e2!8m2!3d8.9892165!4d38.7927407!16s%2Fg%2F11sqpxznc0!19sChIJNYho2QmFSxYR4mKLGVzR_Cw?authuser=0&hl=en&rclk=1,4.5(4),,,,,,
Mystery land Ethiopia tour,tour agency,Tour operator ·  · Sikela Street,https://www.google.com/maps/place/Mystery+land+Ethiopia+tour/data=!4m7!3m6!1s0x17babd93fd14ad9b:0x3ffd5ec6e3649dde!8m2!3d6.033862!4d37.5577389!16s%2Fg%2F11k9f3rv91!19sChIJm60U_ZO9uhcR3p1k48Ze_T8?authuser=0&hl=en&rclk=1,5.0(19),,,,,,
Arba Minch Tour and car Rent,"tour agency, car rental",Car rental agency,https://www.google.com/maps/place/Arba+Minch+Tour+and+car+Rent/data=!4m7!3m6!1s0x17babd538900826b:0xe2c93351ec81e7e9!8m2!3d6.0236616!4d37.5556683!16s%2Fg%2F11vt65y12z!19sChIJa4IAiVO9uhcR6eeB7FEzyeI?authuser=0&hl=en&rclk=1,5.0(5),,,,,,
Arba Minch Tourist Car Rental Agency,"tour agency, car rental",,https://www.google.com/maps/place/Arba+Minch+Tourist+Car+Rental+Agency/data=!4m7!3m6!1s0x17babd5c2c52528f:0xf2fb5afc4ecb1b99!8m2!3d6.0231231!4d37.5528664!16s%2Fg%2F11t2zcm6ys!19sChIJj1JSLFy9uhcRmRvLTvxa-_I?authuser=0&hl=en&rclk=1,5.0(2),,,,,,
Antu Tours,tour agency,,https://www.google.com/maps/place/Antu+Tours/data=!4m7!3m6!1s0x17babb46be7066ab:0xec8b0d61ad46f860!8m2!3d6.0089377!4d37.5389218!16s%2Fg%2F11q83ry2_w!19sChIJq2Zwvka7uhcRYPhGrWENi-w?authuser=0&hl=en&rclk=1,5.0(1),,,,,,
none toursty ethiopia tours,tour agency,Tour operator ·  · hana buna,https://www.google.com/maps/place/none+toursty+ethiopia+tours/data=!4m7!3m6!1s0x17babdb3d0f6cadf:0x7c84080e5ab45f42!8m2!3d6.0206054!4d37.5641095!16s%2Fg%2F11t9nw0lpp!19sChIJ38r20LO9uhcRQl-0Wg4IhHw?authuser=0&hl=en&rclk=1,5.0(1),,,,,,
